title,image_url,image_credit,description,watch_link
F1: The Movie,https://cdn.mos.cms.futurecdn.net/VrEtpocsNy5TxqNxonMJZA.jpg,Apple,"Director of Top Gun Maverick Joe Kosinski brought his action film-making A-game to F1: The Movie, which stars Brad Pitt as Sonny Hayes. He is a former racing star who returns to the road to try to take an ailing F1 team to the big time. Damson Idris plays Joshua Pearce, the hotshot newcomer to Hayes’s old hand. It’s one of those driving movies you can enjoy even if you never watch the actual F1 and find it a bit boring.",https://tv.apple.com/channel/tvs.sbd.4000?at=1001l369U&ct=shortlist-de-1310648217687176936&itscg=30200&itsct=Future_TV
Wake Up Dead Man: A Knives Out Mystery,https://cdn.mos.cms.futurecdn.net/TMV9HWTZ8wAq59NKboBhaR.jpg,Netflix,"Benoit Blanc and his southern drawl are back for another slice of murder mystery brilliance. And it has arrived on Netflix after a brief run in cinemas. This time things take a turn for the religious, with Blanc arriving in a small town in New York State to investigate seemingly impossible murder in a local church. Fun fact. The actual church is in the UK, in Epping Forest, although it’s dressed up to look like the US. This one might even top 2022’s Glass Onion.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-7586277289276548044/https://www.netflix.com/gb/title/81458424
Taylor Swift The Eras Tour The Final Show,https://cdn.mos.cms.futurecdn.net/7m9sj8h42PtR6DWaVyhLVo.jpg,Disney,"It’s already the highest grossing concert tour of all time, but there’s a little bit more to milk out of Taylor Swift’s epic Eras Tour. Disney Plus has released both an alternative version of the show, depicting the final day of the tour, and a six-part documentary. It looks behind-the-scenes at what it took to make the $2-billion leviathan of a live tour project a reality.",https://disneyplus.bn5x.net/c/221109/564546/9358?subId1=shortlist-de-9260409882302472973&sharedId=shortlist-de&u=https%3A%2F%2Fwww.disneyplus.com%2Fen-gb%2Fbrowse%2Fentity-4d12671a-f0ad-4c3f-8526-09ae6772390b
Percy Jackson and the Olympians Season 2,,,"Two years after the arrival of the first season, Percy Jackson and the Olympians has returned. Two episodes are available on day one, with the other six due to roll out across the Christmas period and into January. The second season is based on the second book from Rick Riordan’s series, The Sea of Monsters. Percy and crew go on a mission to the Bermuda Triangle to find the golden fleece.",https://disneyplus.bn5x.net/c/221109/564546/9358?subId1=shortlist-de-1424241733080466886&sharedId=shortlist-de&u=https%3A%2F%2Fwww.disneyplus.com%2Fen-gb%2Fbrowse%2Fentity-f1c31566-ec05-4d30-b23f-3177442233f4
Man Vs Baby,https://cdn.mos.cms.futurecdn.net/XafYWJzAKbjPvrFzFzLcSj.jpg,Netflix,"Your reaction to this one may well rest on what you think of Mr. Bean. Some say Rowan Atkinson’s pure physical comedy pieces are genius. Others find themselves cringing inside-out at the prospect. Man vs Baby is of that ilk, a piece of family-friendly slapstick in which Atkinson’s Trevor finds himself unexpectedly in charge of a baby.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-5352853147853083114/https://www.netflix.com/gb/title/81923753
Jay Kelly,https://cdn.mos.cms.futurecdn.net/M8aPzDMTgH2iYBDo4DmadC.jpg,Netflix,"George Clooney is a movie star. But this time he plays one, Jay Kelly, in an actual movie rather than simply being one in real life. Kelly heads on a trip across Europe with his manager (Adam Sandler) and is forced to confront his past, and whether he’s any more than the collection of movies he has made. This one is a Noah Baumbach film, the director of Marriage Story and The Squid and the Whale.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-1084960477150704059/https://www.netflix.com/watch/81551446
The Price of Confession,https://cdn.mos.cms.futurecdn.net/nNwHmERm9CApwGzTFJBeMj.jpg,Netflix,"Korean drama The Price of Confession starts with an eye-opening premise. A woman is accused of killing her husband, artist Lee Ki-dae. She is offered a way out by a shadowy stranger, but it involves actually killing someone else. It’s a twisty and tense thriller that unfolds over 12 episodes. Pacing is a little uneven, but provides some great moments in its second half.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-1321181635539329615/https://www.netflix.com/gb/title/81757813
The Roses,https://cdn.mos.cms.futurecdn.net/gPVJ3HVTgsiC8MJQB3tqn7.jpg,Disney,"A black comedy from Jay Roach, the co-creator of comedy series Austin Powers and Meet the Parents. But this one has a completely different flavour. It’s about a toxic marriage, each half of which is played by OIivia Colman and Benedict Cumberbatch. You may miss this from a trailer, but it’s a remake of 1989’s The War of the Roses, which put Michael Douglas and Kathleen Turner in those key roles.",https://disneyplus.bn5x.net/c/221109/564546/9358?subId1=shortlist-de-5160859702567743698&sharedId=shortlist-de&u=https%3A%2F%2Fwww.disneyplus.com%2Fplay%2F7df81cf5-6be5-4e05-9ff6-da33baf0b94d
Tinsel Town,https://cdn.mos.cms.futurecdn.net/9Ymo7gEmScw3id2FVCKtDG.jpg,Amazon,"’Tis the season for terrible Christmas movies. Tinsel Town rises to the top of the slop, a charming 93 minute flick buoyed by a fun performance from Kiefer Sutherland. He stars as Brad, alongside Rebel Wilson, as a has-been Hollywood star who accepts a role in a pantomime production in an English village. A family-friendly watch with loads of cameos appearances, including Danny Dyer.",https://www.awin1.com/awclick.php?awinmid=11006&awinaffid=103504&clickref=shortlist-de-1439446653485533930&p=https%3A%2F%2Fwww.nowtv.com%2F
Troll 2,https://cdn.mos.cms.futurecdn.net/9zfTFio2DbSWcw7b2MqcoP.jpg,Netflix,"The original Troll has an eye-opening claim to fame. It’s Netflix’s most successful non-English language movie. And now it has a sequel, three years on. The bad news is it hasn’t received as solid reviews, but there is still plenty of massive troll action. We get one troll battling against another, for one. And it’s directed by Roar Uthaug, who made the original too.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-2812784166046503774/https://www.netflix.com/watch/81667085
Stranger Things season 5 Part 1,https://cdn.mos.cms.futurecdn.net/GoTApvKCEcoTkg7HexQWK7.jpg,Netflix,"So popular it briefly broke Netflix, the Stranger Things star has not dimmed as we enter the final chapters of the much-loved show. The even better news is the Duffer brothers have not dropped the ball for this last season, with the scale of the action and antics notably upped. Part two of the final season drops on December 26th in the UK, with the final feature-length episode landing on January 1st.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-1899484484299228869/https://www.netflix.com/watch/80057281
Left-Handed Girl,https://cdn.mos.cms.futurecdn.net/JKZHQSAncg2AY86Goyf6zG.jpg,Netflix,"Left-Handed Girl director Tsou Shih-Ching is a long-time collaborator of Tangerine director Sean Baker, and some of that style comes to this film. It was shot entirely on iPhones, and follows a young girl who has moved to Taipei. She’s just five years old, and is told off by her grandfather for being left-handed, which convinces her that her hand is possessed by the devil. But it’s a brilliant family drama, not some low-rent horror flick.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-9631880903426566191/https://www.netflix.com/gb/title/83077166
She Rides Shotgun,https://cdn.mos.cms.futurecdn.net/jmtoTcagAntqZHv4ECsatN.jpg,Amazon,"The rise of Taron Egerton as bonafide action star continues with She Rides Shotgun. He plays ex-convict Nate, who has to protect his estranged 11-year-old daughter as they are hunted down by a white supremacist gang and corrupt law enforcement. It’s a gritty and engaging dramatic thriller with an emotional core, given substance through the solid performances of Egerton and young star Ana Sophia Heger.",https://target.georiot.com/Proxy.ashx?tsid=357512&GR_URL=https%3A%2F%2Famazon.co.uk%2FShe-Rides-Shotgun-Nick-Rowland%2Fdp%2FB0FXPDHXKL%2F%3Ftag%3Dhawk-future-21%26ascsubtag%3Dshortlist-de-1253594003577509636-21
Jingle Bell Heist,https://cdn.mos.cms.futurecdn.net/U5C8YNHUre6F5THu58vpWX.jpg,Netflix,"Netflix becomes a slurry of festive sludge over November and December, but this latest piece of Christmas fodder is actually a decent watch. It stars Olivia Holt and Connor Swindells (although the big one for us UK folks is a role by Peter Serafinowicz). The pair, who are strangers, team up to rob a department store in a festive heist. But it’s a rom-com, not just a heist movie. Much better than most of Netflix’s 2025 festive fare.",https://www.anrdoezrs.net/links/6361382/type/dlg/sid/shortlist-de-9077774433942084998/https://www.netflix.com/watch/81928353
The Beatles Anthology,https://cdn.mos.cms.futurecdn.net/xCfFtJDdXEtUPbAACd9LZg.jpg,Disney,"The fantastic 1995 documentary series has been remastered and expanded in a new edition, now available to stream on Disney Plus. This new version expands the original eight-episode run with ninth episode, which includes footage on the making of the original 90s documentary run. All of the Anthology’s content has been thoroughly restored too, doing wonders for the audio of this unmissable series.",https://disneyplus.bn5x.net/c/221109/564546/9358?subId1=shortlist-de-1248705151819369199&sharedId=shortlist-de&u=https%3A%2F%2Fwww.disneyplus.com%2Fen-gb%2Fbrowse%2Fentity-cab32c53-c3f8-4879-86f5-c8e4a1657338
